"1","Sam Worthington ","Male","Jake Sully "
"2","Sigourney Weaver ","Female","Dr. Grace Augustine "
"3","Stephen Lang ","Male","Colonel Miles Quaritch "
"4","Zoe Saldana ","Female","Neytiri "
"5","Stephen Lang ","Male","Colonel Miles Quaritch "
"6","Michelle Rodriguez","Female","Trudy Chacon"
"7","Giovanni Ribisi","Male","Parker Selfridge"
"8","Joel David Moore","Male","Norm Spellman"
"9","CCH Pounder","Female","Mo'at "
"10","Wes Studi","Male","Eytukan"
"11","Laz Alonso","Male","Tsu'tey"
"12","Dileep Rao","Male","Dr. Max Patel"
"13","Matt Gerald","Male","Corporal Lyle Wainfleet"
"14","Sean Anthony Moran","Male","Private Fike"
"15","Jason Whyte","Male","Cryo Vault Med Tech"
"16","Jason Momoa ","Male","Arthur"
"17","Amber Heard ","Female","Mera"
"18","Willem Dafoe ","Male"," Vulko "
"19","Patrick Wilson ","Male","King Orm "
"20","Nicole Kidman ","Female","Atlanna "
"21","Dolph Lundgren ","Male"," King Nereus "
"22","Yahya Abdul-Mateen II ","Male"," Manta "
"23","Temuera Morrison ","Male","Tom Curry "
"24","Ludi Lin ","Male","Captain Murk "
"25","Michael Beach ","Male","Jesse (Manta's Father) "
"26","Randall Park ","Male","Dr. Stephen Shin "
"27"," Graham McTavish ","Male","King Atlan "
"28","Leigh Whannell ","Male"," Cargo Pilot "
"29","Tainui Kirkwood ","Male","Young Arthur (Three Years Old) "
"30","Tamor Kirkwood ","Male","Young Arthur (Three Years Old) "
"31","Chadwick Boseman","Male","T'Challa / Black Panther"
"32","Michael B. Jordan","Male","Erik Killmonger"
"33","Lupita Nyong'o","Female","Nakia"
"34","Danai Gurira","Female","Okoye"
"35","Martin Freeman","Male","Everett K. Ross"
"36","Daniel Kaluuya","Male","W'Kabi"
"37","Letitia Wright","Female","Shuri"
"38","Winston Duke","Male","M'Baku"
"39","Sterling K. Brown","Male","N'Jobu"
"40","Angela Bassett","Female","Ramonda"
"41","Forest Whitaker","Male","Zuri"
"42","Andy Serkis","Male","Ulysses Klaue"
"43","Florence Kasumba","Female","Ayo"
"44","John Kani","Male","T'Chaka"
"45","David S. Lee","Male","Limbani"
"46","Benedict Cumberbatch","Male","Dr. Stephen Strange"
"47","Chiwetel Ejiofor","Male","Mordo"
"48","Rachel McAdams","Female","Dr. Christine Palmer"
"49","Benedict Wong","Male","Wong"
"50","Mads Mikkelsen","Male","Kaecilius"
"51","Tilda Swinton","Female","The Ancient One"
"52","Michael Stuhlbarg","Male","Dr. Nicodemus West"
"53","Benjamin Bratt","Male","Jonathan Pangborn"
"54","Scott Adkins","Male","Lucian / Strong Zealot"
"55","Zara Phythian","Female","Brunette Zealot"
"56","Alaa Safi","Male","Tall Zealot"
"57","Katrina Durden","Female","Blonde Zealot"
"58","Topo Wresniwiro","Male","Hamir"
"59","Umit Ulgen","Male","Sol Rama"
"60","Linda Louise Duan","Female","Tina Minoru (as Linda Duan)"
"61","Chris Pratt","Male","Peter Quill"
"62","Zoe Saldana","Female","Gamora"
"63","Dave Bautista","Male","Drax"
"64","Vin Diesel","Male","Groot (voice)"
"65","Bradley Cooper","Male","Rocket (voice)"
"66","Lee Pace","Male","Ronan"
"67","Michael Rooker","Male","Yondu Udonta"
"68","Karen Gillan","Female","Nebula"
"69","Djimon Hounsou","Male","Korath"
"70","John C. Reilly","Male","Corpsman Dey"
"71","Glenn Close","Female","Nova Prime"
"72","Benicio Del Toro","Male","The Collector"
"73","Laura Haddock","Female","Meredith Quill"
"74","Sean Gunn","Male","Kraglin / On Set Rocket"
"75","Peter Serafinowicz","Male","Denarian Saal"
"76","Ellen DeGeneres ","Male","Dory (voice) "
"77","Albert Brooks ","Male","Marlin (voice) "
"78","Ed O'Neill ","Male","Hank (voice) "
"79","Kaitlin Olson ","Female","Destiny (voice) "
"80","Hayden Rolence ","Female","Nemo (voice) "
"81","Ty Burrell ","Male","Bailey (voice) "
"82","Diane Keaton ","Female","Jenny (voice) "
"83","Eugene Levy ","Male","Charlie (voice) "
"84","Sloane Murray ","Male","Young Dory (voice) "
"85","Idris Elba ","Male","Fluke (voice) "
"86"," Dominic West ","Male"," Rudder (voice) "
"87","Bob Peterson ","Male","Mr. Ray / Additional Voices (voice) "
"88","Kate McKinnon ","Female","Wife Fish (voice) "
"89","Bill Hader ","Male","Husband Fish (Stan) (voice) "
"90","Sigourney Weaver ","Female","Sigourney Weaver (voice) "
"91","Auli'i Cravalho ","Female","Moana (voice) "
"92","Dwayne Johnson ","Male","Maui (voice) "
"93","Rachel House ","Female","Gramma Tala (voice) "
"94","Temuera Morrison ","Male","Chief Tui (voice) "
"95"," Jemaine Clement ","Male","Tamatoa (voice) "
"96"," Nicole Scherzinger ","Female","Sina (voice) "
"97","Alan Tudyk ","Male","Heihei / Villager #3 (voice) "
"98","Oscar Kightley ","Male","Fisherman (voice) "
"99","Troy Polamalu ","Male","Villager #1 (voice) "
"100","Puanani Cravalho ","Male","Villager #2 (voice) "
"101","Louise Bush ","Male","Toddler Moana (voice) "
"102","Ryan Reynolds ","Male","Wade / Deadpool "
"103","Karan Soni ","Male","Dopinder "
"104","Ed Skrein ","Male"," Ajax "
"105","Michael Benyaer ","Male"," Warlord "
"106","Brianna Hildebrand ","Female","Negasonic Teenage Warhead"
"107","Style Dayne ","Male","Jeremy (Pizza Guy) "
"108","Kyle Cassie ","Male","Gavin Merchant "
"109","Taylor Hickson ","Female","Meghan Orlovsky "
"110","Ayzee ","Female","Teen Girl #1 "
"111","Naika Toussaint ","Famale","Teen Girl #2 "
"112","Randal Reeder ","Male","Buck "
"113","T.J. Miller ","Male"," Weasel "
"114","Isaac C. Singleton Jr. ","Male","Boothe "
"115","Morena Baccarin ","Female"," Vanessa "
"116"," Warlord ","Male","Voice of Colossus (voice) "
"117","Chris Evans","Male","Steve Rogers / Captain America"
"118","Samuel L. Jackson","Male","Nick Fury"
"119","Scarlett Johansson","Female","Natasha Romanoff / Black Widow"
"120","Robert Redford","Male","Alexander Pierce"
"121","Sebastian Stan","Male","Bucky Barnes / Winter Soldier"
"122","Anthony Mackie","Male","Sam Wilson / Falcon"
"123","Cobie Smulders","Female","Maria Hill"
"124","Frank Grillo","Male","Brock Rumlow"
"125","Maximiliano Hernandez","Male","Jasper Sitwell (as Maximiliano Hernandez)"
"126","Emily VanCamp","Female","Kate / Agent 13"
"127","Hayley Atwell","Female","Peggy Carter"
"128","Toby Jones","Male","Dr. Arnim Zola"
"129","Stan Lee","Male","Smithsonian Guard"
"130","Callan Mulvey","Male","Jack Rollins"
"131","Jenny Agutter","Female","Councilwoman Hawley"
"132","Chris Hemsworth","Male","Thor"
"133","Natalie Portman","Female","Jane Foster"
"134","Tom Hiddleston","Male","Loki"
"135","Anthony Hopkins","Male","Odin"
"136","Stellan Skarsgard","Male","Erik Selvig"
"137","Kat Dennings","Female","Darcy Lewis"
"138","Clark Gregg","Male","Agent Coulson"
"139","Colm Feore","Male","King Laufey"
"140","Idris Elba","Male","Heimdall"
"141","Ray Stevenson","Male","Volstagg"
"142","Tadanobu Asano","Male","Hogun"
"143","Josh Dallas","Male","Fandral"
"144","Jaimie Alexander","Female","Sif"
"145","Rene Russo","Female","Frigga"
"146","Adriana Barraza","Female","Isabela Alvarez"
"147","James McAvoy","Male","Patricia / Dennis / Hedwig / The Beast / Barr"
"148","Bruce Willis","Male","David Dunn"
"149","Samuel L. Jackson","Male","Elijah Price"
"150","Anya Taylor-Joy","Female","Casey Cooke"
"151","Sarah Paulson","Female","Dr. Ellie Staple"
"152","Spencer Treat Clark","Male","Joseph Dunn"
"153","Charlayne Woodard","Female","Mrs. Price"
"154","Luke Kirby","Male","Pierce"
"155","Adam David Thompson","Male","Daryl"
"156","M. Night Shyamalan","Male","Jai, Security Guard"
"157","Shannon Destiny Ryan","Female","Cheerleading Girl"
"158","Diana Silvers","Female","Cheerleading Girl"
"159","Nina Wisner","Female","Cheerleading Girl"
"160","Kyli Zion","Female","Cheerleading Girl"
"161","Serge Didenko","Male","Ronald, Powerful Young Man"
"162","Hailee Steinfeld","Female","Charlie"
"163","Jorge Lendeborg Jr.","Male","Memo"
"164","John Cena","Male","Agent Burns"
"165","Jason Drucker","Male","Otis"
"166","Pamela Adlon","Female","Sally"
"167","Stephen Schneider","Male","Ron"
"168","Ricardo Hoyos","Male","Tripp"
"169","John Ortiz","Male","Dr. Powell"
"170","Glynn Turman","Male","General Whalen"
"171","Len Cariou","Male","Uncle Hank"
"172","Kollin Holtz","Male","Craig"
"173","Gracie Dzienny","Male","Tina"
"174","Fred Dryer","Male","Sheriff Lock"
"175","Isabelle Ellingson","Female","Mean Girlfriend"
"176","Mika Kubo","Female","Mean Girlfriend"
"177","Shia LaBeouf","Male","Sam Witwicky"
"178","Rosie Huntington-Whiteley","Feamale","Carly"
"179","Josh Duhamel","Male","Lennox"
"180","John Turturro","Male","Simmons"
"181","Tyrese Gibson","Male","Epps"
"182","Patrick Dempsey","Male","Dylan"
"183","Buzz Aldrin","Male","Buzz Aldrin"
"184","Frances McDormand","Female","Mearing"
"185","John Malkovich","Male","Bruce Brazos"
"186","Kevin Dunn","Male","Ron Witwicky"
"187","Julie White","Female","Judy Witwicky"
"188","Alan Tudyk","Male","Dutch"
"189","Ken Jeong","Male","Jerry Wang"
"190","Glenn Morshower","Male","General Morshower"
"191","Lester Speight","Male","Eddie"
"192","Sope Aluko","Female","Dr. Collins"
"193","Tom Hardy","Male","Eddie Brock / Venom"
"194","Michelle Williams","Female","Anne Weying"
"195","Riz Ahmed","Male","Carlton Drake / Riot"
"196","Scott Haze","Male","Security Chief Roland Treece"
"197","Reid Scott","Female","Dr. Dan Lewis"
"198","Jenny Slate","Female","Dr. Dora Skirth"
"199","Woody Harrelson","Male","Cletus Kasady"
"200","Peggy Lu","Female","Mrs. Chen"
"201","Malcolm C. Murray","Male","Lewis Donate"
"202","Sope Aluko","Female","Dr. Collins"
"203","Wayne Pére","Male","Dr. Emerson"
"204","Michelle Lee","Female","Malaysia EMT / Riot Host"
"205","Kurt Yue","Male","Mission Control Translator"
"206","Chris O'Hara","Male","Astronaut JJ Jameson, III"
"207","Vin Diesel","Male","Dominic Toretto"
"208","Paul Walker","Male","Brian O'Conner"
"209","Jordana Brewster","Female","Mia"
"210","Tyrese Gibson	","Male","Roman"
"211","Ludacris","Male","Tej"
