"1"," Twentieth Century Fox, Dune Entertainment, Ingenious Film Partners, Lightstorm Entertainment","1"
"2","DC Comics , DC Entertainment, Panoramic Pictures, Rodeo FX, The Safran Company, Warner Bros.","2"
"3","Marvel Studios (presents) , Walt Disney Pictures","3"
"4","Marvel Studios (presents) , Walt Disney Pictures","4"
"5","Marvel Studios (presents), Moving Pictures Company, Marvel Enterprises","5"
"6","Pixar Animation Studios, Walt Disney Pictures","6"
"7","Hurwitz CreativeWalt, Disney Animation Studio","7"
"8","Twentieth Century Fox, Marvel Entertainment, Maximum Effort, TSG Entertainment (made in association with), Twentieth Century Fox","8"
"9","Marvel Entertainment (presents), Marvel Studios","9"
"10","Paramount Pictures (presents), Marvel Entertainment (presents),
Marvel Studios","10"
"11","Universal Pictures, Blinding Edge Pictures, Blumhouse Productions, Buena Vista International (presents), Perfect World Pictures","11"
"12","Allspark Pictures, Bay Films, Di Bonaventura Pictures, Hasbro, Laika Entertainment (uncredited), Paramount Pictures, Tencent Pictures, Tom DeSanto/Don Murphy Production","12"
"13","Paramount Pictures, Hasbro, Di Bonaventura Pictures, Amblin Entertainment (uncredited),
Platinum Dunes (uncredited)","13"
"14","Avi Arad Productions, Columbia Pictures Corporation, Marvel Entertainment (in association with) (as Marvel),
Matt Tolmach Productions,
Pascal Pictures,
Sony Pictures Entertainment (SPE),
Tencent P","14"
"15","Universal Pictures (presents), Original Film, One Race Productions (as One Race Films), 
Dentsu (in association with) (as Dentsu Inc.)","15"
"16","Walt Disney Pictures (presents), Jerry Bruckheimer Films (presents), Moving Picture Company (MPC)","16"
"17","Donners' Company, Kinberg Genre, Marvel Entertainment, Maximum Effort, TSG Entertainment (made in association with), Twentieth Century Fox","17"
"18","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions, LSG Productions (production management)","18"
"19","Marvel Studios, Walt Disney Pictures","19"
"20","Warner Bros. (presents), Legendary Entertainment (in association with),Peters Entertainment (as Jon Peters), Bad Hat Harry Productions (in association with), DC Comics, Red Sun Productions Pty. Ltd. (","20"
"21","Walt Disney Pictures (presents) (as Disney), BOT VFX","21"
"22","Walt Disney Animation Studios, Walt Disney Pictures (presents)","22"
"23","Columbia Pictures Corporation (presents), Marvel Studios, Laura Ziskin Productions (as Laura Ziskin)","23"
